question_id,prompt,correct_answer,naive_answer,as_of_day,subject,domain
neg_incident_19_26,Has incident_19 in fast changed from v11 as of day 26?,v17,v11,26,incident_19,fast
neg_mdl_4_26,Has mdl_4 in medium changed from v7 as of day 26?,v1,v7,26,mdl_4,medium
neg_spec_15_15,Has spec_15 in slow changed from v3 as of day 15?,v4,v3,15,spec_15,slow
neg_hardware_4_56,Has hardware_4 in slow changed from v9 as of day 56?,v14,v9,56,hardware_4,slow
neg_hardware_14_64,Has hardware_14 in slow changed from v13 as of day 64?,v15,v13,64,hardware_14,slow
neg_docs_13_41,Has docs_13 in fast changed from v29 as of day 41?,v28,v29,41,docs_13,fast
neg_hw_12_18,Has hw_12 in slow changed from v3 as of day 18?,v2,v3,18,hw_12,slow
neg_status_22_12,Has status_22 in fast changed from v2 as of day 12?,v10,v2,12,status_22,fast
neg_docs_16_49,Has docs_16 in fast changed from v22 as of day 49?,v26,v22,49,docs_16,fast
neg_hardware_22_31,Has hardware_22 in slow changed from v3 as of day 31?,v5,v3,31,hardware_22,slow
neg_doc_4_45,Has doc_4 in fast changed from v30 as of day 45?,v12,v30,45,doc_4,fast
neg_sts_7_32,Has sts_7 in fast changed from v18 as of day 32?,v2,v18,32,sts_7,fast
neg_sts_20_10,Has sts_20 in fast changed from v7 as of day 10?,v1,v7,10,sts_20,fast
neg_mdl_14_58,Has mdl_14 in medium changed from v20 as of day 58?,v4,v20,58,mdl_14,medium
neg_prc_1_37,Has prc_1 in medium changed from v16 as of day 37?,v6,v16,37,prc_1,medium
neg_sts_23_41,Has sts_23 in fast changed from v26 as of day 41?,v8,v26,41,sts_23,fast
neg_sts_9_55,Has sts_9 in fast changed from v36 as of day 55?,v1,v36,55,sts_9,fast
neg_model_15_40,Has model_15 in medium changed from v14 as of day 40?,v16,v14,40,model_15,medium
neg_pricing_8_31,Has pricing_8 in medium changed from v9 as of day 31?,v13,v9,31,pricing_8,medium
neg_spec_8_18,Has spec_8 in slow changed from v3 as of day 18?,v1,v3,18,spec_8,slow
neg_api_24_34,Has api_24 in medium changed from v14 as of day 34?,v16,v14,34,api_24,medium
neg_docs_8_16,Has docs_8 in fast changed from v9 as of day 16?,v12,v9,16,docs_8,fast
neg_inc_2_18,Has inc_2 in fast changed from v5 as of day 18?,v15,v5,18,inc_2,fast
neg_prc_2_56,Has prc_2 in medium changed from v13 as of day 56?,v2,v13,56,prc_2,medium
neg_api_22_31,Has api_22 in medium changed from v7 as of day 31?,v11,v7,31,api_22,medium
neg_sts1_43,Has sts1 in fast changed from v27 as of day 43?,v1,v27,43,sts1,fast
neg_inc_14_65,Has inc_14 in fast changed from v41 as of day 65?,v1,v41,65,inc_14,fast
neg_status_1_9,Has status_1 in fast changed from v4 as of day 9?,v6,v4,9,status_1,fast
neg_doc_2_9,Has doc_2 in fast changed from v4 as of day 9?,v2,v4,9,doc_2,fast
neg_docs_0_65,Has docs_0 in fast changed from v37 as of day 65?,v41,v37,65,docs_0,fast
neg_hardware_11_46,Has hardware_11 in slow changed from v13 as of day 46?,v12,v13,46,hardware_11,slow
neg_spec_1_18,Has spec_1 in slow changed from v5 as of day 18?,v2,v5,18,spec_1,slow
neg_status_0_27,Has status_0 in fast changed from v16 as of day 27?,v19,v16,27,status_0,fast
neg_status_25_19,Has status_25 in fast changed from v14 as of day 19?,v18,v14,19,status_25,fast
neg_model_3_58,Has model_3 in medium changed from v17 as of day 58?,v18,v17,58,model_3,medium
neg_api_25_27,Has api_25 in medium changed from v8 as of day 27?,v11,v8,27,api_25,medium
neg_status_9_14,Has status_9 in fast changed from v8 as of day 14?,v6,v8,14,status_9,fast
neg_sts_24_10,Has sts_24 in fast changed from v7 as of day 10?,v2,v7,10,sts_24,fast
neg_hw_4_53,Has hw_4 in slow changed from v7 as of day 53?,v1,v7,53,hw_4,slow
neg_inc_19_64,Has inc_19 in fast changed from v43 as of day 64?,v1,v43,64,inc_19,fast
neg_incident_0_55,Has incident_0 in fast changed from v20 as of day 55?,v25,v20,55,incident_0,fast
neg_api_13_44,Has api_13 in medium changed from v12 as of day 44?,v2,v12,44,api_13,medium
neg_spec_8_59,Has spec_8 in slow changed from v16 as of day 59?,v1,v16,59,spec_8,slow
neg_model_5_46,Has model_5 in medium changed from v18 as of day 46?,v24,v18,46,model_5,medium
neg_inc_22_14,Has inc_22 in fast changed from v7 as of day 14?,v5,v7,14,inc_22,fast
neg_spec_16_18,Has spec_16 in slow changed from v10 as of day 18?,v4,v10,18,spec_16,slow
neg_inc_13_17,Has inc_13 in fast changed from v7 as of day 17?,v2,v7,17,inc_13,fast
neg_incident_19_36,Has incident_19 in fast changed from v30 as of day 36?,v23,v30,36,incident_19,fast
neg_model_15_43,Has model_15 in medium changed from v15 as of day 43?,v16,v15,43,model_15,medium
neg_spec_9_41,Has spec_9 in slow changed from v7 as of day 41?,v5,v7,41,spec_9,slow
neg_prc_7_55,Has prc_7 in medium changed from v8 as of day 55?,v2,v8,55,prc_7,medium
neg_spec_1_46,Has spec_1 in slow changed from v13 as of day 46?,v2,v13,46,spec_1,slow
neg_status_14_19,Has status_14 in fast changed from v11 as of day 19?,v15,v11,19,status_14,fast
neg_status_6_5,Has status_6 in fast changed from v4 as of day 5?,v3,v4,5,status_6,fast
neg_hardware_0_20,Has hardware_0 in slow changed from v3 as of day 20?,v6,v3,20,hardware_0,slow
neg_spec_10_14,Has spec_10 in slow changed from v3 as of day 14?,v4,v3,14,spec_10,slow
neg_sts16_60,Has sts16 in fast changed from v45 as of day 60?,v1,v45,60,sts16,fast
neg_incident_24_63,Has incident_24 in fast changed from v40 as of day 63?,v44,v40,63,incident_24,fast
neg_spec_25_52,Has spec_25 in slow changed from v13 as of day 52?,v17,v13,52,spec_25,slow
neg_pricing_2_26,Has pricing_2 in medium changed from v10 as of day 26?,v9,v10,26,pricing_2,medium
neg_docs_0_25,Has docs_0 in fast changed from v10 as of day 25?,v18,v10,25,docs_0,fast
neg_api_18_59,Has api_18 in medium changed from v18 as of day 59?,v28,v18,59,api_18,medium
neg_hardware_12_32,Has hardware_12 in slow changed from v7 as of day 32?,v11,v7,32,hardware_12,slow
neg_incident_18_61,Has incident_18 in fast changed from v25 as of day 61?,v32,v25,61,incident_18,fast
neg_sts2_30,Has sts2 in fast changed from v18 as of day 30?,v1,v18,30,sts2,fast
neg_incident_25_30,Has incident_25 in fast changed from v16 as of day 30?,v20,v16,30,incident_25,fast
neg_sts_4_57,Has sts_4 in fast changed from v39 as of day 57?,v1,v39,57,sts_4,fast
neg_inc_0_47,Has inc_0 in fast changed from v34 as of day 47?,v1,v34,47,inc_0,fast
neg_pricing_3_19,Has pricing_3 in medium changed from v4 as of day 19?,v9,v4,19,pricing_3,medium
neg_api_11_61,Has api_11 in medium changed from v17 as of day 61?,v2,v17,61,api_11,medium
neg_api_0_41,Has api_0 in medium changed from v17 as of day 41?,v2,v17,41,api_0,medium
neg_hardware_5_65,Has hardware_5 in slow changed from v15 as of day 65?,v16,v15,65,hardware_5,slow
neg_sts_21_23,Has sts_21 in fast changed from v14 as of day 23?,v3,v14,23,sts_21,fast
neg_sts_22_49,Has sts_22 in fast changed from v35 as of day 49?,v2,v35,49,sts_22,fast
neg_model_24_27,Has model_24 in medium changed from v9 as of day 27?,v12,v9,27,model_24,medium
neg_status_9_33,Has status_9 in fast changed from v12 as of day 33?,v22,v12,33,status_9,fast
neg_spec_18_16,Has spec_18 in slow changed from v3 as of day 16?,v4,v3,16,spec_18,slow
neg_prc_9_42,Has prc_9 in medium changed from v9 as of day 42?,v8,v9,42,prc_9,medium
neg_spec_8_41,Has spec_8 in slow changed from v12 as of day 41?,v1,v12,41,spec_8,slow
neg_docs_12_11,Has docs_12 in fast changed from v1 as of day 11?,v7,v1,11,docs_12,fast
neg_incident_7_64,Has incident_7 in fast changed from v33 as of day 64?,v36,v33,64,incident_7,fast
neg_pricing_11_54,Has pricing_11 in medium changed from v18 as of day 54?,v22,v18,54,pricing_11,medium
neg_status_27_13,Has status_27 in fast changed from v9 as of day 13?,v10,v9,13,status_27,fast
neg_incident_17_61,Has incident_17 in fast changed from v32 as of day 61?,v37,v32,61,incident_17,fast
neg_spec_3_19,Has spec_3 in slow changed from v3 as of day 19?,v1,v3,19,spec_3,slow
neg_model_4_37,Has model_4 in medium changed from v17 as of day 37?,v20,v17,37,model_4,medium
neg_pricing_4_4,Has pricing_4 in medium changed from v1 as of day 4?,v2,v1,4,pricing_4,medium
neg_pricing_17_60,Has pricing_17 in medium changed from v25 as of day 60?,v26,v25,60,pricing_17,medium
neg_status_9_32,Has status_9 in fast changed from v11 as of day 32?,v22,v11,32,status_9,fast
neg_hardware_25_27,Has hardware_25 in slow changed from v5 as of day 27?,v10,v5,27,hardware_25,slow
neg_spec_26_16,Has spec_26 in slow changed from v4 as of day 16?,v5,v4,16,spec_26,slow
neg_sts_9_60,Has sts_9 in fast changed from v47 as of day 60?,v1,v47,60,sts_9,fast
neg_doc_10_55,Has doc_10 in fast changed from v40 as of day 55?,v6,v40,55,doc_10,fast
neg_model_15_26,Has model_15 in medium changed from v7 as of day 26?,v10,v7,26,model_15,medium
neg_pricing_4_53,Has pricing_4 in medium changed from v24 as of day 53?,v25,v24,53,pricing_4,medium
neg_inc_13_35,Has inc_13 in fast changed from v21 as of day 35?,v2,v21,35,inc_13,fast
neg_sts_24_45,Has sts_24 in fast changed from v34 as of day 45?,v2,v34,45,sts_24,fast
neg_prc_8_32,Has prc_8 in medium changed from v7 as of day 32?,v1,v7,32,prc_8,medium
neg_incident_15_14,Has incident_15 in fast changed from v4 as of day 14?,v12,v4,14,incident_15,fast
neg_status_2_8,Has status_2 in fast changed from v2 as of day 8?,v6,v2,8,status_2,fast
neg_model_2_45,Has model_2 in medium changed from v17 as of day 45?,v15,v17,45,model_2,medium
neg_doc_12_42,Has doc_12 in fast changed from v29 as of day 42?,v2,v29,42,doc_12,fast
neg_status_29_53,Has status_29 in fast changed from v31 as of day 53?,v35,v31,53,status_29,fast
neg_pricing_11_45,Has pricing_11 in medium changed from v17 as of day 45?,v19,v17,45,pricing_11,medium
neg_model_20_67,Has model_20 in medium changed from v27 as of day 67?,v28,v27,67,model_20,medium
neg_spec_25_23,Has spec_25 in slow changed from v8 as of day 23?,v9,v8,23,spec_25,slow
neg_status_19_14,Has status_19 in fast changed from v4 as of day 14?,v12,v4,14,status_19,fast
neg_docs_6_39,Has docs_6 in fast changed from v25 as of day 39?,v18,v25,39,docs_6,fast
neg_status_15_35,Has status_15 in fast changed from v23 as of day 35?,v18,v23,35,status_15,fast
