question_id,temporal_distance,recency_score,subject_fact_count,overlap_count,subject_fact_density,domain,task_family,as_of_day,subject
q1012,0,0.0,40,79,0.5,fast,CurrentQuery,60,docs_0
q1012,0,0.0,49,69,0.7,fast,CurrentQuery,60,sts_8
q1012,0,0.0,44,19,2.2,fast,CurrentQuery,60,sts7
q1013,14,0.23728813559322037,15,59,0.25,slow,AsOfQA,46,spec_19
q1013,60,1.0,48,79,0.6,fast,ChangeDetection,0,docs_17
q1013,1,0.016949152542372836,43,69,0.6142857142857143,fast,CurrentQuery,59,sts_6
q1013,51,0.864406779661017,11,9,1.1,slow,OverlapQuery,9,hw6
q1014,31,0.5254237288135593,27,79,0.3375,medium,AsOfQA,29,model_12
q1014,60,1.0,25,49,0.5,medium,ChangeDetection,0,api_15
q1014,1,0.016949152542372836,7,9,0.7,slow,CurrentQuery,59,hw8
q1015,12,0.2033898305084746,37,69,0.5285714285714286,fast,AsOfQA,48,status_1
q1015,0,0.0,38,79,0.475,fast,CurrentQuery,60,incident_11
q1015,0,0.0,50,69,0.7142857142857143,fast,CurrentQuery,60,doc_8
q1015,51,0.864406779661017,7,9,0.7,slow,PastQueryTrap,9,hw8
q1016,59,1.0,20,59,0.3333333333333333,slow,AsOfQA,1,spec_13
q1016,10,0.1694915254237288,8,39,0.2,slow,PastQueryTrap,50,spec_1
q1016,57,0.9661016949152542,46,69,0.6571428571428571,fast,OverlapTrap,3,inc_16
q1016,0,0.0,44,19,2.2,fast,CurrentQuery,60,sts7
q1017,55,0.9322033898305084,9,59,0.15,slow,AsOfQA,5,spec_26
q1017,0,0.0,20,49,0.4,medium,CurrentQuery,60,api_13
q1017,0,0.0,49,69,0.7,fast,CurrentQuery,60,doc_15
q1017,0,0.0,5,9,0.5,slow,CurrentQuery,60,hw3
q1018,59,1.0,36,69,0.5142857142857142,fast,AsOfQA,1,docs_11
q1018,57,0.9661016949152542,41,79,0.5125,fast,PastQueryTrap,3,docs_16
q1018,55,0.9322033898305084,25,39,0.625,medium,OverlapTrap,5,api_7
q1018,15,0.2542372881355932,47,19,2.35,fast,PastQueryTrap,45,sts18
q1019,45,0.7627118644067796,25,79,0.3125,medium,AsOfQA,15,model_6
q1019,0,0.0,46,79,0.575,fast,CurrentQuery,60,docs_7
q1019,0,0.0,51,69,0.7285714285714285,fast,CurrentQuery,60,sts_14
q1019,21,0.35593220338983056,22,9,2.2,medium,OverlapQuery,39,api2
q102,2,0.03389830508474578,41,69,0.5857142857142857,fast,AsOfQA,58,docs_0
q102,60,1.0,13,39,0.325,slow,ChangeDetection,0,hardware_3
q102,3,0.05084745762711862,8,29,0.26666666666666666,slow,CurrentQuery,57,spec_8
q102,0,0.0,20,9,2.0,medium,CurrentQuery,60,api4
q1020,27,0.4576271186440678,23,79,0.2875,medium,AsOfQA,33,model_19
q1020,50,0.847457627118644,46,79,0.575,fast,PastQueryTrap,10,incident_12
q1020,0,0.0,15,39,0.375,medium,CurrentQuery,60,api_5
q1020,26,0.44067796610169496,11,9,1.1,slow,OverlapQuery,34,hw6
q1021,50,0.847457627118644,17,59,0.2833333333333333,slow,AsOfQA,10,spec_23
q1021,0,0.0,20,49,0.4,medium,CurrentQuery,60,api_13
q1021,54,0.9152542372881356,47,69,0.6714285714285714,fast,DecayTrap,6,sts_24
q1021,46,0.7796610169491526,47,19,2.35,fast,PastQueryTrap,14,sts16
q1022,51,0.864406779661017,36,69,0.5142857142857142,fast,AsOfQA,9,incident_3
q1022,0,0.0,47,79,0.5875,fast,CurrentQuery,60,incident_27
q1022,51,0.864406779661017,20,39,0.5,medium,DecayTrap,9,mdl_12
q1022,54,0.9152542372881356,48,19,2.4,fast,PastQueryTrap,6,sts9
q1023,5,0.0847457627118644,45,69,0.6428571428571429,fast,AsOfQA,55,incident_14
q1023,1,0.016949152542372836,45,79,0.5625,fast,CurrentQuery,59,incident_3
q1023,44,0.7457627118644068,48,69,0.6857142857142857,fast,PastQueryTrap,16,inc_18
q1023,0,0.0,6,9,0.6,slow,CurrentQuery,60,hw4
q1024,45,0.7627118644067796,41,69,0.5857142857142857,fast,AsOfQA,15,incident_12
q1024,1,0.016949152542372836,42,79,0.525,fast,CurrentQuery,59,status_15
q1024,0,0.0,48,69,0.6857142857142857,fast,CurrentQuery,60,inc_21
q1024,27,0.4576271186440678,6,9,0.6,slow,PastQueryTrap,33,hw4
q1025,51,0.864406779661017,20,59,0.3333333333333333,slow,AsOfQA,9,spec_15
q1025,60,1.0,39,79,0.4875,fast,ChangeDetection,0,status_17
q1025,0,0.0,45,69,0.6428571428571429,fast,CurrentQuery,60,doc_19
q1025,17,0.288135593220339,20,9,2.0,medium,PastQueryTrap,43,api7
q1026,22,0.3728813559322034,37,69,0.5285714285714286,fast,AsOfQA,38,status_21
q1026,42,0.711864406779661,25,49,0.5,medium,PastQueryTrap,18,model_4
q1026,0,0.0,48,69,0.6857142857142857,fast,CurrentQuery,60,inc_22
q1026,0,0.0,43,19,2.15,fast,CurrentQuery,60,sts17
q1027,58,0.9830508474576272,25,79,0.3125,medium,AsOfQA,2,api_2
q1027,55,0.9322033898305084,42,79,0.525,fast,PastQueryTrap,5,incident_18
q1027,23,0.38983050847457623,13,9,1.3,medium,OverlapQuery,37,api0
q1028,19,0.3220338983050848,36,69,0.5142857142857142,fast,AsOfQA,41,docs_9
q1028,22,0.3728813559322034,41,79,0.5125,fast,PastQueryTrap,38,incident_24
q1028,18,0.30508474576271183,46,69,0.6571428571428571,fast,PastQueryTrap,42,sts_12
q1028,45,0.7627118644067796,11,9,1.1,slow,PastQueryTrap,15,hw6
q1029,43,0.728813559322034,23,79,0.2875,medium,AsOfQA,17,api_27
q1029,60,1.0,24,49,0.48,medium,ChangeDetection,0,model_8
q1029,57,0.9661016949152542,16,39,0.4,medium,PastQueryTrap,3,prc_2
q1029,0,0.0,44,19,2.2,fast,CurrentQuery,60,sts7
q103,24,0.4067796610169492,20,59,0.3333333333333333,slow,AsOfQA,36,spec_15
q103,48,0.8135593220338984,12,39,0.3,slow,PastQueryTrap,12,spec_18
q103,45,0.7627118644067796,50,69,0.7142857142857143,fast,DecayTrap,15,inc_10
q103,11,0.18644067796610164,10,9,1.0,medium,OverlapQuery,49,api8
q1030,41,0.6949152542372881,29,79,0.3625,medium,AsOfQA,19,model_4
q1030,6,0.10169491525423724,28,49,0.56,medium,PastQueryTrap,54,api_5
q1030,29,0.4915254237288136,43,69,0.6142857142857143,fast,PastQueryTrap,31,doc_17
q1030,0,0.0,6,9,0.6,slow,CurrentQuery,60,hw4
q1031,42,0.711864406779661,15,59,0.25,slow,AsOfQA,18,hardware_4
q1031,33,0.5593220338983051,48,79,0.6,fast,PastQueryTrap,27,status_26
q1031,18,0.30508474576271183,47,69,0.6714285714285714,fast,PastQueryTrap,42,sts_24
q1031,0,0.0,45,19,2.25,fast,CurrentQuery,60,sts13
q1032,48,0.8135593220338984,40,69,0.5714285714285714,fast,AsOfQA,12,status_14
q1032,29,0.4915254237288136,13,39,0.325,slow,PastQueryTrap,31,hardware_18
q1032,52,0.8813559322033898,26,39,0.65,medium,DecayTrap,8,prc_1
q1032,1,0.016949152542372836,43,19,2.15,fast,CurrentQuery,59,sts2
q1033,17,0.288135593220339,13,59,0.21666666666666667,slow,AsOfQA,43,spec_16
q1033,21,0.35593220338983056,13,49,0.26,medium,PastQueryTrap,39,api_16
q1033,19,0.3220338983050848,14,39,0.35,medium,PastQueryTrap,41,prc_9
q1033,8,0.13559322033898302,46,19,2.3,fast,OverlapQuery,52,sts0
q1034,6,0.10169491525423724,28,79,0.35,medium,AsOfQA,54,pricing_3
q1034,38,0.6440677966101696,18,49,0.36,medium,PastQueryTrap,22,pricing_2
q1034,12,0.2033898305084746,46,69,0.6571428571428571,fast,PastQueryTrap,48,inc_3
q1034,52,0.8813559322033898,45,19,2.25,fast,OverlapQuery,8,sts13
q1035,16,0.27118644067796616,41,69,0.5857142857142857,fast,AsOfQA,44,status_4
q1035,60,1.0,42,79,0.525,fast,ChangeDetection,0,status_15
q1035,0,0.0,50,69,0.7142857142857143,fast,CurrentQuery,60,sts_15
q1035,0,0.0,46,19,2.3,fast,CurrentQuery,60,sts10
q1036,36,0.6101694915254237,42,69,0.6,fast,AsOfQA,24,status_19
q1036,10,0.1694915254237288,19,49,0.38,medium,PastQueryTrap,50,pricing_3
q1036,56,0.9491525423728814,19,39,0.475,medium,OverlapTrap,4,mdl_9
q1036,0,0.0,44,19,2.2,fast,CurrentQuery,60,sts1
q1037,5,0.0847457627118644,38,69,0.5428571428571428,fast,AsOfQA,55,incident_6
q1037,55,0.9322033898305084,21,49,0.42,medium,PastQueryTrap,5,api_8
q1037,0,0.0,54,69,0.7714285714285715,fast,CurrentQuery,60,inc_12
q1037,40,0.6779661016949152,6,9,0.6,slow,OverlapQuery,20,hw4
q1038,38,0.6440677966101696,21,79,0.2625,medium,AsOfQA,22,model_1
q1038,58,0.9830508474576272,45,79,0.5625,fast,PastQueryTrap,2,docs_2
q1038,58,0.9830508474576272,25,39,0.625,medium,OverlapTrap,2,prc_6
q1038,0,0.0,43,19,2.15,fast,CurrentQuery,60,sts14
q1039,44,0.7457627118644068,28,79,0.35,medium,AsOfQA,16,model_25
q1039,7,0.11864406779661019,47,79,0.5875,fast,PastQueryTrap,53,incident_27
q1039,6,0.10169491525423724,15,29,0.5,slow,PastQueryTrap,54,hw_8
q1039,42,0.711864406779661,9,9,0.9,slow,OverlapQuery,18,hw7
q104,56,0.9491525423728814,41,69,0.5857142857142857,fast,AsOfQA,4,docs_0
q104,0,0.0,48,79,0.6,fast,CurrentQuery,60,incident_1
q104,55,0.9322033898305084,21,39,0.525,medium,OverlapTrap,5,mdl_14
q104,1,0.016949152542372836,43,19,2.15,fast,OverlapQuery,59,sts2
q1040,32,0.5423728813559322,21,79,0.2625,medium,AsOfQA,28,model_1
q1040,21,0.35593220338983056,38,79,0.475,fast,PastQueryTrap,39,status_9
q1040,50,0.847457627118644,11,29,0.36666666666666664,slow,OverlapTrap,10,hw_4
q1040,50,0.847457627118644,42,19,2.1,fast,OverlapQuery,10,sts11
q1041,56,0.9491525423728814,38,69,0.5428571428571428,fast,AsOfQA,4,incident_6
q1041,52,0.8813559322033898,48,79,0.6,fast,PastQueryTrap,8,status_22
q1041,58,0.9830508474576272,21,39,0.525,medium,OverlapTrap,2,mdl_6
q1041,1,0.016949152542372836,8,9,0.8,medium,CurrentQuery,59,api6
q1042,33,0.5593220338983051,41,69,0.5857142857142857,fast,AsOfQA,27,status_18
q1042,10,0.1694915254237288,25,49,0.5,medium,PastQueryTrap,50,model_2
q1042,54,0.9152542372881356,18,39,0.45,medium,OverlapTrap,6,mdl_13
q1042,2,0.03389830508474578,7,9,0.7,slow,CurrentQuery,58,hw8
q1043,2,0.03389830508474578,36,69,0.5142857142857142,fast,AsOfQA,58,docs_9
q1043,53,0.8983050847457628,20,49,0.4,medium,PastQueryTrap,7,api_11
q1043,44,0.7457627118644068,51,69,0.7285714285714285,fast,DecayTrap,16,sts_14
q1043,3,0.05084745762711862,11,9,1.1,slow,CurrentQuery,57,hw6
q1044,19,0.3220338983050848,36,69,0.5142857142857142,fast,AsOfQA,41,docs_12
q1044,0,0.0,14,39,0.35,slow,CurrentQuery,60,hardware_13
q1044,0,0.0,15,29,0.5,slow,CurrentQuery,60,hw_8
q1044,0,0.0,46,19,2.3,fast,CurrentQuery,60,sts6
q1045,43,0.728813559322034,39,69,0.5571428571428572,fast,AsOfQA,17,incident_21
q1045,22,0.3728813559322034,14,39,0.35,slow,PastQueryTrap,38,hardware_13
q1045,50,0.847457627118644,19,39,0.475,medium,DecayTrap,10,mdl_9
q1045,5,0.0847457627118644,12,9,1.2,medium,CurrentQuery,55,api5
q1046,35,0.5932203389830508,41,69,0.5857142857142857,fast,AsOfQA,25,status_3
q1046,22,0.3728813559322034,34,79,0.425,fast,PastQueryTrap,38,incident_22
q1046,33,0.5593220338983051,52,69,0.7428571428571429,fast,PastQueryTrap,27,inc_6
q1046,0,0.0,44,19,2.2,fast,CurrentQuery,60,sts1
q1047,59,1.0,31,79,0.3875,medium,AsOfQA,1,api_9
q1047,0,0.0,21,49,0.42,medium,CurrentQuery,60,model_6
q1047,50,0.847457627118644,46,69,0.6571428571428571,fast,DecayTrap,10,inc_3
q1047,3,0.05084745762711862,11,9,1.1,slow,CurrentQuery,57,hw6
q1048,38,0.6440677966101696,25,79,0.3125,medium,AsOfQA,22,model_6
q1048,60,1.0,18,49,0.36,medium,ChangeDetection,0,pricing_2
q1048,0,0.0,50,69,0.7142857142857143,fast,CurrentQuery,60,doc_3
q1048,1,0.016949152542372836,8,9,0.8,medium,CurrentQuery,59,api6
q1049,34,0.576271186440678,31,79,0.3875,medium,AsOfQA,26,model_11
q1049,0,0.0,45,79,0.5625,fast,CurrentQuery,60,incident_28
q1049,48,0.8135593220338984,49,69,0.7,fast,DecayTrap,12,doc_15
q1049,48,0.8135593220338984,46,19,2.3,fast,OverlapQuery,12,sts10
q105,56,0.9491525423728814,35,79,0.4375,medium,AsOfQA,4,api_16
q105,39,0.6610169491525424,48,79,0.6,fast,PastQueryTrap,21,status_22
q105,55,0.9322033898305084,46,69,0.6571428571428571,fast,OverlapTrap,5,inc_15
q105,1,0.016949152542372836,44,19,2.2,fast,CurrentQuery,59,sts5
q1050,53,0.8983050847457628,16,79,0.2,medium,AsOfQA,7,api_23
q1050,60,1.0,23,49,0.46,medium,ChangeDetection,0,model_18
q1050,50,0.847457627118644,14,39,0.35,medium,DecayTrap,10,api_12
q1050,0,0.0,42,19,2.1,fast,CurrentQuery,60,sts11
q1051,33,0.5593220338983051,22,79,0.275,medium,AsOfQA,27,api_28
q1051,0,0.0,43,79,0.5375,fast,CurrentQuery,60,docs_8
q1051,57,0.9661016949152542,20,39,0.5,medium,OverlapTrap,3,api_0
q1051,15,0.2542372881355932,9,9,0.9,slow,PastQueryTrap,45,hw7
q1052,14,0.23728813559322037,23,79,0.2875,medium,AsOfQA,46,model_14
q1052,51,0.864406779661017,19,49,0.38,medium,PastQueryTrap,9,model_3
q1052,53,0.8983050847457628,5,29,0.16666666666666666,slow,DecayTrap,7,spec_11
q1052,1,0.016949152542372836,44,19,2.2,fast,CurrentQuery,59,sts5
q1053,0,0.0,11,59,0.18333333333333332,slow,AsOfQA,60,spec_24
q1053,21,0.35593220338983056,27,49,0.54,medium,PastQueryTrap,39,pricing_1
q1053,44,0.7457627118644068,46,69,0.6571428571428571,fast,DecayTrap,16,inc_3
q1053,0,0.0,46,19,2.3,fast,CurrentQuery,60,sts10
q1054,14,0.23728813559322037,26,79,0.325,medium,AsOfQA,46,api_14
q1054,60,1.0,10,39,0.25,slow,ChangeDetection,0,spec_14
q1054,47,0.7966101694915254,12,39,0.3,medium,PastQueryTrap,13,api_2
q1054,2,0.03389830508474578,7,9,0.7,slow,CurrentQuery,58,hw8
q1055,25,0.423728813559322,24,79,0.3,medium,AsOfQA,35,model_29
q1055,4,0.06779661016949157,17,49,0.34,medium,CurrentQuery,56,api_1
q1055,44,0.7457627118644068,17,39,0.425,medium,DecayTrap,16,mdl_11
q1055,16,0.27118644067796616,13,9,1.3,slow,OverlapQuery,44,hw1
q1056,59,1.0,25,79,0.3125,medium,AsOfQA,1,api_29
q1056,27,0.4576271186440678,50,79,0.625,fast,PastQueryTrap,33,status_13
q1056,51,0.864406779661017,5,29,0.16666666666666666,slow,DecayTrap,9,spec_11
q1056,36,0.6101694915254237,5,9,0.5,slow,PastQueryTrap,24,hw3
q1057,4,0.06779661016949157,22,59,0.36666666666666664,slow,AsOfQA,56,spec_8
q1057,54,0.9152542372881356,34,79,0.425,fast,PastQueryTrap,6,status_4
q1057,57,0.9661016949152542,5,29,0.16666666666666666,slow,OverlapTrap,3,spec_4
q1057,44,0.7457627118644068,5,9,0.5,slow,OverlapQuery,16,hw2
q1058,44,0.7457627118644068,37,69,0.5285714285714286,fast,AsOfQA,16,status_8
q1058,22,0.3728813559322034,25,49,0.5,medium,PastQueryTrap,38,model_2
q1058,0,0.0,45,69,0.6428571428571429,fast,CurrentQuery,60,inc_0
q1058,0,0.0,46,19,2.3,fast,CurrentQuery,60,sts0
q1059,19,0.3220338983050848,37,69,0.5285714285714286,fast,AsOfQA,41,status_20
q1059,1,0.016949152542372836,28,49,0.56,medium,CurrentQuery,59,api_5
q1059,52,0.8813559322033898,8,29,0.26666666666666666,slow,OverlapTrap,8,spec_13
q1059,21,0.35593220338983056,6,9,0.6,slow,OverlapQuery,39,hw4
q106,19,0.3220338983050848,41,69,0.5857142857142857,fast,AsOfQA,41,docs_0
q106,51,0.864406779661017,10,39,0.25,slow,PastQueryTrap,9,spec_8
q106,36,0.6101694915254237,7,29,0.23333333333333334,slow,PastQueryTrap,24,spec_14
q106,45,0.7627118644067796,44,19,2.2,fast,PastQueryTrap,15,sts4
q1060,48,0.8135593220338984,16,59,0.26666666666666666,slow,AsOfQA,12,spec_28
q1060,0,0.0,24,49,0.48,medium,CurrentQuery,60,model_12
q1060,46,0.7796610169491526,12,39,0.3,medium,DecayTrap,14,api_2
q1060,28,0.47457627118644063,43,19,2.15,fast,OverlapQuery,32,sts2
q1061,49,0.8305084745762712,28,79,0.35,medium,AsOfQA,11,model_25
q1061,0,0.0,48,79,0.6,fast,CurrentQuery,60,docs_17
q1061,0,0.0,8,29,0.26666666666666666,slow,CurrentQuery,60,hw_2
q1061,13,0.22033898305084743,10,9,1.0,medium,OverlapQuery,47,api8
q1062,23,0.38983050847457623,37,69,0.5285714285714286,fast,AsOfQA,37,status_24
q1062,60,1.0,44,79,0.55,fast,ChangeDetection,0,incident_13
q1062,56,0.9491525423728814,46,69,0.6571428571428571,fast,OverlapTrap,4,inc_16
q1062,45,0.7627118644067796,20,9,2.0,medium,OverlapQuery,15,api4
q1063,22,0.3728813559322034,39,69,0.5571428571428572,fast,AsOfQA,38,status_0
q1063,0,0.0,23,49,0.46,medium,CurrentQuery,60,api_7
q1063,0,0.0,45,69,0.6428571428571429,fast,CurrentQuery,60,doc_19
q1063,0,0.0,42,19,2.1,fast,PastQueryTrap,60,sts12
q1064,26,0.44067796610169496,28,79,0.35,medium,AsOfQA,34,model_25
q1064,39,0.6610169491525424,40,79,0.5,fast,PastQueryTrap,21,incident_16
q1064,56,0.9491525423728814,17,39,0.425,medium,OverlapTrap,4,mdl_11
q1064,0,0.0,46,19,2.3,fast,CurrentQuery,60,sts6
q1065,18,0.30508474576271183,32,69,0.45714285714285713,fast,AsOfQA,42,status_17
q1065,60,1.0,48,79,0.6,fast,ChangeDetection,0,status_22
q1065,21,0.35593220338983056,46,69,0.6571428571428571,fast,PastQueryTrap,39,sts_12
q1065,36,0.6101694915254237,14,9,1.4,medium,OverlapQuery,24,api9
q1066,50,0.847457627118644,36,69,0.5142857142857142,fast,AsOfQA,10,docs_16
q1066,16,0.27118644067796616,20,39,0.5,slow,PastQueryTrap,44,spec_7
q1066,45,0.7627118644067796,45,69,0.6428571428571429,fast,DecayTrap,15,doc_12
q1066,23,0.38983050847457623,47,19,2.35,fast,OverlapQuery,37,sts16
q1067,10,0.1694915254237288,31,79,0.3875,medium,AsOfQA,50,api_9
q1067,60,1.0,18,39,0.45,slow,ChangeDetection,0,hardware_15
q1067,48,0.8135593220338984,47,69,0.6714285714285714,fast,DecayTrap,12,sts_2
q1067,30,0.5084745762711864,9,9,0.9,slow,PastQueryTrap,30,hw7
q1068,29,0.4915254237288136,38,69,0.5428571428571428,fast,AsOfQA,31,incident_6
q1068,33,0.5593220338983051,24,49,0.48,medium,PastQueryTrap,27,model_12
q1068,48,0.8135593220338984,50,69,0.7142857142857143,fast,PastQueryTrap,12,doc_1
q1068,0,0.0,43,19,2.15,fast,PastQueryTrap,60,sts2
q1069,29,0.4915254237288136,24,79,0.3,medium,AsOfQA,31,pricing_10
q1069,0,0.0,17,49,0.34,medium,CurrentQuery,60,pricing_8
q1069,13,0.22033898305084743,11,29,0.36666666666666664,slow,PastQueryTrap,47,spec_10
q1069,3,0.05084745762711862,20,9,2.0,medium,OverlapQuery,57,api7
q107,8,0.13559322033898302,25,79,0.3125,medium,AsOfQA,52,pricing_8
q107,60,1.0,30,49,0.6,medium,ChangeDetection,0,model_10
q107,51,0.864406779661017,50,69,0.7142857142857143,fast,DecayTrap,9,sts_3
q107,31,0.5254237288135593,20,9,2.0,medium,PastQueryTrap,29,api4
q1070,5,0.0847457627118644,26,79,0.325,medium,AsOfQA,55,api_24
q1070,1,0.016949152542372836,45,79,0.5625,fast,CurrentQuery,59,incident_8
q1070,50,0.847457627118644,8,29,0.26666666666666666,slow,OverlapTrap,10,spec_8
q1070,45,0.7627118644067796,10,9,1.0,medium,PastQueryTrap,15,api3
q1071,55,0.9322033898305084,16,59,0.26666666666666666,slow,AsOfQA,5,hardware_2
q1071,23,0.38983050847457623,49,79,0.6125,fast,PastQueryTrap,37,incident_7
q1071,0,0.0,5,29,0.16666666666666666,slow,CurrentQuery,60,hw_9
q1071,50,0.847457627118644,14,9,1.4,medium,OverlapQuery,10,api9
q1072,2,0.03389830508474578,38,69,0.5428571428571428,fast,AsOfQA,58,incident_15
q1072,11,0.18644067796610164,47,79,0.5875,fast,PastQueryTrap,49,status_28
q1072,50,0.847457627118644,25,39,0.625,medium,DecayTrap,10,prc_6
q1072,37,0.6271186440677966,10,9,1.0,medium,OverlapQuery,23,api8
q1073,35,0.5932203389830508,36,69,0.5142857142857142,fast,AsOfQA,25,docs_9
q1073,50,0.847457627118644,20,49,0.4,medium,PastQueryTrap,10,api_11
q1073,46,0.7796610169491526,11,9,1.1,slow,OverlapQuery,14,hw6
q1074,16,0.27118644067796616,24,79,0.3,medium,AsOfQA,44,model_29
q1074,53,0.8983050847457628,45,79,0.5625,fast,PastQueryTrap,7,incident_28
q1074,56,0.9491525423728814,50,69,0.7142857142857143,fast,OverlapTrap,4,doc_13
q1074,0,0.0,15,9,1.5,medium,CurrentQuery,60,api1
q1075,11,0.18644067796610164,29,79,0.3625,medium,AsOfQA,49,model_4
q1075,57,0.9661016949152542,43,79,0.5375,fast,PastQueryTrap,3,incident_6
q1075,53,0.8983050847457628,8,29,0.26666666666666666,slow,DecayTrap,7,spec_9
q1075,0,0.0,43,19,2.15,fast,CurrentQuery,60,sts14
q1076,27,0.4576271186440678,34,69,0.4857142857142857,fast,AsOfQA,33,incident_20
q1076,0,0.0,39,79,0.4875,fast,CurrentQuery,60,status_6
q1076,0,0.0,11,39,0.275,medium,CurrentQuery,60,prc_7
